blk_read_time,blk_write_time,calls,local_blks_dirtied,local_blks_hit,local_blks_read,local_blks_written,max_time,mean_time,min_time,query,queryid,rows,shared_blks_dirtied,shared_blks_hit,shared_blks_read,shared_blks_written,stddev_time,temp_blks_read,temp_blks_written,total_time
0.0,0.0,78,0,0,0,0,0.207,0.0605384615384615,0.011,<insufficient privilege>,,41,31,450,1,0,0.0422506842025292,0,0,4.722
0.0,0.0,172,0,0,0,0,0.194,0.0368139534883721,0.028,<insufficient privilege>,,602,0,2838,0,0,0.014158169330409,0,0,6.332
0.0,0.0,23,0,0,0,0,0.07,0.0268260869565217,0.018,<insufficient privilege>,,7,0,23,0,0,0.0109332050033196,0,0,0.617
0.0,0.0,323,0,0,0,0,42.999,0.524291021671827,0.053,<insufficient privilege>,,323,552,4446,15,0,3.80045990317987,0,0,169.346
0.0,0.0,59,0,0,0,0,59.845,1.92976271186441,0.312,<insufficient privilege>,,59,132,1668,56,0,8.45849961519799,0,0,113.856
0.0,0.0,1,0,0,0,0,0.027,0.027,0.027,<insufficient privilege>,,0,0,0,0,0,0.0,0,0,0.027
0.0,0.0,1112,0,0,0,0,27.098,13.8469730215827,11.29,<insufficient privilege>,,1112,8,4261274,0,0,2.41521501291804,0,0,15397.834
0.0,0.0,2,0,0,0,0,0.003,0.003,0.003,<insufficient privilege>,,0,0,0,0,0,0.0,0,0,0.006
0.0,0.0,1226,0,0,0,0,0.584,0.143167210440457,0.105,<insufficient privilege>,,1226,0,15941,0,0,0.0326288726347155,0,0,175.523
0.0,0.0,9,0,0,0,0,0.25,0.209888888888889,0.149,<insufficient privilege>,,262,0,69,0,0,0.0276985536904585,0,0,1.889
0.0,0.0,4,0,0,0,0,0.023,0.02225,0.021,<insufficient privilege>,,4,0,4,0,0,0.000829156197588851,0,0,0.089
0.0,0.0,1358,0,0,0,0,1.832,0.159743004418262,0.0,<insufficient privilege>,,0,0,12223,0,0,0.173111449260024,0,0,216.931000000002
0.0,0.0,17,0,0,0,0,0.139,0.109117647058824,0.09,<insufficient privilege>,,17,32,255,0,0,0.0141582748738977,0,0,1.855
0.0,0.0,2,0,0,0,0,0.003,0.003,0.003,<insufficient privilege>,,0,0,0,0,0,0.0,0,0,0.006
